lo,hi,val,err
0,0.02,1.493395697,0.3270176901
0.02,0.04,1.294132644,0.260452167
0.04,0.06,1.869740546,0.319245844
0.06,0.08,2.511746665,0.3880502253
0.08,0.1,3.160843784,0.4158969706
0.1,0.12,3.665095288,0.4259527871
0.12,0.14,4.208833179,0.4576871245
0.14,0.16,4.642631187,0.4771233369
0.16,0.2,4.840719659,0.4917708156
0.2,0.25,3.76901086,0.4344498697
0.25,0.3,2.454807233,0.2777843876
0.3,0.35,1.473255437,0.1630695603
0.35,0.4,0.9170811148,0.118787794
0.4,0.5,0.3648124774,0.04939920829
0.5,0.6,0.04108324015,0.006913249404
