lo,hi,val,err
-1.000,-0.620,0.82,0.16
-0.620,-0.340,1.10,0.22
-0.340,-0.130,1.37,0.24
-0.130,0.060,1.64,0.27
0.060,0.200,1.99,0.43
0.200,0.320,2.26,0.35
0.320,0.420,2.58,0.43
0.420,0.520,2.82,0.46
0.520,0.600,3.16,0.50
0.600,0.670,3.68,0.63
0.670,0.730,3.94,0.65
0.730,0.780,4.38,0.70
0.780,0.830,4.96,0.77
0.830,0.870,5.49,0.91
0.870,0.910,6.33,1.04
0.910,0.950,7.28,1.18
0.950,0.975,8.42,1.45
0.975,1.000,9.56,1.58
