lo,hi,val,err,xc
0.0,0.1,633.9,52.3,0.04
0.1,0.2,507.7,21.0,0.14
0.2,0.3,443.9,17.9,0.243
0.3,0.4,362.2,8.9,0.344
0.4,0.5,275.5,15.3,0.445
0.5,0.6,236.0,15.9,0.547
0.6,0.7,193.9,17.2,0.648
0.7,0.8,135.2,12.1,0.749
0.8,1.0,116.1,12.1,0.898
