lo,hi,val,err
1.0,2.0,3.55,0.7455
2.0,2.5,5.24,0.6812
2.5,3.0,5.08,0.508
3.0,3.5,3.13,0.3756
3.5,4.0,1.82,0.2548
4.0,5.0,0.96,0.1344
5.0,7.0,0.55,0.0825
7.0,10.0,0.45,0.0585
