*******************************************************************************************
 Differential cross section for angular bin  [0,0.84]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
3.98 	 7.73 	 4.29 	 1.40 	 0.01 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.84,0.9]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
3.11 	 10.50 	 11.96 	 6.69 	 0.13 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.9,0.94]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
*******************************************************************************************
0 	1 	2 	3 	4 	
2.77 	 9.29 	 10.43 	 7.03 	 0.23 	 
*******************************************************************************************
 Differential cross section for angular bin  [0.94,1]
 The 5  bins are defined as:
 Momentum bins: 0: 0-400 MeV, 1: 400-500 MeV, 2: 500-700 MeV, 3: 700-900 MeV, 4: > 900 MeV 
 The result is given in cm^2/nucleon/MeV x 10^{-42} 
********************************************************************************************
0 	1 	2 	3 	4 	
2.68 	 5.67 	 8.28 	 7.19 	 0.75 	 
********************************************************************************************
 Fractional covariance matrix on the differential cross section result of all systematic uncertainty, the bins are defined as in the paper:
 Momentum bins: 0-5: 0-400 MeV, 5-10: 400-500 MeV, 10-15: 500-700 MeV, 15-20: 700-900 MeV, 20-25 > 900 MeV 
 Angle bins: 0-5: [-1,0], [0,0.84], [0.84,0.9], [0.9,0.94], [0.94,1]
************************************************************************************************************************************
	 0 	 1 	 2 	 3 	 4 	 5 	 6 	 7 	 8 	 9 	 10 	 11 	 12 	 13 	 14 	 15 	 16 	 17 	 18 	 19 	 20 	 21 	 22 	 23 	 24 	 
14 	  0.00572055 	 0.01629576 	 0.02030884 	 0.02015346 	 0.01631025 	 0.02768960 	 0.01727251 	 0.01592239 	 0.01351318 	 0.02003497 	 -0.00541507 	 0.01491747 	 0.01500254 	 0.00936159 	 0.02682273 	 -0.02818367 	 0.01319444 	 0.01008107 	 0.00345152 	 0.03218728 	 0.00000000 	 0.01445177 	 0.01387938 	 0.01354127 	 0.01150519 	
13 	  0.01684340 	 0.01569188 	 0.01460221 	 0.01733137 	 0.01965027 	 0.00168859 	 0.01144581 	 0.01253892 	 0.01507850 	 0.01542415 	 0.01081782 	 0.01176914 	 0.01249429 	 0.01554688 	 0.00936159 	 0.00036999 	 0.01234641 	 0.01501473 	 0.01778169 	 0.00534747 	 0.00000000 	 0.01176201 	 0.01212710 	 0.01205508 	 0.01289186 	
12 	  0.01247328 	 0.01528824 	 0.01562680 	 0.01720705 	 0.01749506 	 0.01199766 	 0.01334620 	 0.01295050 	 0.01337905 	 0.01571410 	 0.00441513 	 0.01259017 	 0.01307916 	 0.01249429 	 0.01500254 	 -0.01090398 	 0.01211946 	 0.01267113 	 0.01184265 	 0.01488206 	 0.00000000 	 0.01216450 	 0.01227177 	 0.01210102 	 0.01185367 	
11 	  0.01507197 	 0.01457130 	 0.01390160 	 0.01522429 	 0.01523604 	 0.02600630 	 0.01474779 	 0.01205178 	 0.01242415 	 0.01522973 	 0.02104031 	 0.01400146 	 0.01259017 	 0.01176914 	 0.01491747 	 0.03248561 	 0.01326120 	 0.01202669 	 0.01074002 	 0.01498447 	 0.00000000 	 0.01331723 	 0.01273223 	 0.01249030 	 0.01189079 	
10 	  0.05355389 	 0.00703930 	 -0.00483318 	 -0.00338729 	 0.00067863 	 0.13772861 	 0.01890951 	 0.00067005 	 0.00580740 	 0.00682445 	 0.22923369 	 0.02104031 	 0.00441513 	 0.01081782 	 -0.00541507 	 0.58993160 	 0.02282818 	 0.00820001 	 0.01406017 	 -0.01506237 	 0.00000000 	 0.02370290 	 0.01509679 	 0.01447678 	 0.01269957 	
9 	  0.01466246 	 0.01922073 	 0.02101439 	 0.02396486 	 0.02241552 	 0.01474583 	 0.01604021 	 0.01721681 	 0.01759791 	 0.02302628 	 0.00682445 	 0.01522973 	 0.01571410 	 0.01542415 	 0.02003497 	 -0.01016954 	 0.01491782 	 0.01519459 	 0.01402648 	 0.01902233 	 0.00000000 	 0.01558522 	 0.01512592 	 0.01490970 	 0.01448851 	
8 	  0.01430349 	 0.01657004 	 0.01725494 	 0.01916757 	 0.02011502 	 0.00281568 	 0.01246454 	 0.01426439 	 0.01675859 	 0.01759791 	 0.00580740 	 0.01242415 	 0.01337905 	 0.01507850 	 0.01351318 	 -0.00647312 	 0.01291676 	 0.01440779 	 0.01558684 	 0.01074268 	 0.00000000 	 0.01283847 	 0.01296411 	 0.01276541 	 0.01313351 	
7 	  0.00767873 	 0.01587845 	 0.01922089 	 0.02002462 	 0.01839318 	 0.00369055 	 0.01218996 	 0.01558780 	 0.01426439 	 0.01721681 	 0.00067005 	 0.01205178 	 0.01295050 	 0.01253892 	 0.01592239 	 -0.01980461 	 0.01290053 	 0.01230904 	 0.01120630 	 0.01572512 	 0.00000000 	 0.01413695 	 0.01339452 	 0.01313684 	 0.01263984 	
6 	  0.01525615 	 0.01511663 	 0.01395231 	 0.01543841 	 0.01517268 	 0.03139916 	 0.01643570 	 0.01218996 	 0.01246454 	 0.01604021 	 0.01890951 	 0.01474779 	 0.01334620 	 0.01144581 	 0.01727251 	 0.02572647 	 0.01334265 	 0.01180387 	 0.00939245 	 0.01826156 	 0.00000000 	 0.01344252 	 0.01303991 	 0.01275165 	 0.01191824 	
5 	  0.04069451 	 0.01020296 	 0.00089438 	 0.00171282 	 -0.00158421 	 0.17115393 	 0.03139916 	 0.00369055 	 0.00281568 	 0.01474583 	 0.13772861 	 0.02600630 	 0.01199766 	 0.00168859 	 0.02768960 	 0.35689128 	 0.01885827 	 0.00408210 	 -0.00714249 	 0.03771066 	 0.00000000 	 0.01745186 	 0.01359481 	 0.01301102 	 0.00794128 	
