lo,hi,val,err
0.25,0.3,25.950159536367337,4.555814010652081
0.3,0.35,30.984763946862795,5.327347813464244
0.35,0.4,34.490153305537724,4.435255217455027
0.4,0.45,35.44791418529763,5.239041935786567
0.45,0.5,30.97446685425872,4.112825465079438
0.5,0.55,32.20625398032394,3.713904104449948
0.55,0.6,25.882873147014397,4.156349090579084
0.6,0.65,28.45531266145918,3.5280032584383902
0.65,0.7,22.02617172019357,3.149092142849533
0.7,0.75,20.375516755643325,2.9084892872347545
0.75,0.8,16.979548268244823,3.3377067107947402
0.8,0.85,13.547978060928441,3.049287444294274
0.85,0.9,14.663581241285426,2.7209887104018793
0.9,0.95,11.07152083168833,3.224911045306661
0.95,1.0,10.876456364885678,4.618168422988895
