lo,hi,val,err
0.0,30.0,0.015962184695870615,0.003605038394118213
30.0,40.0,0.03528089498846002,0.011554492758844955
40.0,50.0,0.04746877731777471,0.012959893916348709
50.0,60.0,0.06790123524038551,0.01824971252455138
60.0,70.0,0.10553997356072142,0.017371023840171734
70.0,80.0,0.1570505854039141,0.025163437771259033
80.0,90.0,0.21392067786620048,0.029065203524108546
90.0,100.0,0.23334531366773956,0.025800739630520115
100.0,110.0,0.23107340991466216,0.028965600590263242
110.0,120.0,0.1925438920474485,0.025057673300320087
120.0,130.0,0.14194154149459093,0.014943388441465408
130.0,140.0,0.10211900626559486,0.018425593444649224
140.0,150.0,0.0819196883363597,0.01966918443631286
150.0,180.0,0.03473647729081792,0.006347029357178944
