lo,hi,val,err
0.0,45.0,0.030650334349051192,0.014663166656960653
45.0,60.0,0.08946063221026794,0.05978942063702843
60.0,75.0,0.21891767263803472,0.04754436347238802
75.0,90.0,0.2659717348960345,0.06653438925792755
90.0,100.0,0.3032867725557008,0.06017650057268118
100.0,110.0,0.319348006474371,0.08560203901313199
110.0,120.0,0.3232356495943493,0.049310006904927
120.0,130.0,0.2650336545633782,0.059343049925787004
130.0,140.0,0.2294528022644898,0.03941711459384899
140.0,150.0,0.17042043545325922,0.03926015921264904
150.0,180.0,0.0670233635384934,0.0226153889389256
