lo,hi,val,err
0.0,0.06,20.218737530191778,2.6931044872541383
0.06,0.12,45.721431231149886,4.831994850447591
0.12,0.18,50.494120284008645,6.378548101279012
0.18,0.24,41.23106750805452,4.926139838510382
0.24,0.32,26.348873564548526,3.700719235194873
0.32,0.4,20.080276537821135,3.7809089776632283
0.4,0.48,17.6031612676642,3.9503781266352505
0.48,0.55,12.561167308572868,2.5986964397511567
0.55,0.68,8.54783904290161,2.4589892287288135
0.68,0.75,4.507673055095122,1.860192670412799
0.75,0.9,3.23985637415905,2.090394203229952
0.9,1.2,0.5598865514853266,0.504918987075394
