lo,hi,val,err
0.0,60.0,0.002606901823586935,0.0016043527514037926
60.0,70.0,0.05560950786440472,0.02956749741946362
70.0,80.0,0.264914067153406,0.09801929552159178
80.0,90.0,0.4988111547618102,0.08294584976874005
90.0,100.0,0.5772872988100918,0.0780710616008122
100.0,110.0,0.5420182928265012,0.08901594749266996
110.0,120.0,0.36024364886893334,0.0513467530972046
120.0,130.0,0.2027889154551233,0.02934833387751291
130.0,140.0,0.11310658099121824,0.028937132017505904
140.0,150.0,0.08514637973243654,0.024951535216133143
150.0,180.0,0.025595117242896162,0.006048080448091229
