GlobalXbin    Z
0    0.4469375203711112
1    0.574400759134661
2    0.4327758684674373
3    0.280858915041503
4    0.1240704650769315
5    0.02317119774278193
6    0.2100520393074762
7    0.5025980804251989
8    0.3660147659499092
9    0.1996272383383658
10    0.04263828791842672
11    0.02411074722202423
12    0.6167802059041698
13    1.007321949942106
14    0.900419349037206
15    0.6986732982371591
16    0.5025764525536984
17    0.329489045041255
18    0.2406237389425485
19    0.1771281329277495
20    0.03778137329515253
21    0.03535772824510731
22    0.04232380592470299
23    0.05394614834052566
24    0.07711889867942139
25    0.1096979590293151
26    0.1506546883449203
27    0.192127460377181
28    0.2302891472863449
29    0.04648002786305177
30    0.05753013883826086
31    0.06686397531118918
32    0.06827426283663077
33    0.06709604084904042
34    0.0702690968826689
35    0.07582547929147254
36    0.08258718822311389
37    0.08683276760505998
38    0.09032604281520924
39    0.09589962045105309
40    0.107569025824709
41    0.1192520901526207
42    0.1289703327596667
43    0.13545510095722
44    0.06796827591593554
45    0.07837096968988042
46    0.09519110636955293
47    0.1129497267518772
48    0.1224032529485891
49    0.1247952876126307
50    0.1214486533299767
51    0.124213253099426
52    0.1318730877632837
53    0.1434785207401634
54    0.156960255010925
55    0.1733625507445057
56    0.1986054855507037
57    0.2363694962799969
58    0.2840647654136247
59    0.340910703967287
60    0.4046697039775325
61    0.3010376374749876
62    0.4273609708180028
63    0.2204132127783631
64    0.008498136353738512
65    0.2407485436195777
66    0.3963555145560864
67    0.2985180833260551
68    0.1983149037177418
69    0.01760287525549634
70    0.4589173150880216
71    0.668350097389161
72    0.7094893988683686
73    0.6670240618028167
74    0.5485477920609183
75    0.3718000792154649
76    0.1986751586578861
77    0.08747080405380683
78    0.2703736871523382
79    0.521759729262486
80    0.707881397782853
81    0.8001520037035251
82    0.6722343025377584
83    0.4258347404015883
84    0.1464307518601459
end
