0.199,0.34700000000000003,0.46799999999999997,0.507,0.521,0.493,0.301,0.145,0.097,0.054,0.019
0.34700000000000003,1.096,1.3039999999999998,1.377,1.395,1.31,0.857,0.432,0.278,0.163,0.043
0.46799999999999997,1.3039999999999998,2.239,2.2169999999999996,2.297,2.208,1.6280000000000001,0.649,0.428,0.263,0.059
0.507,1.377,2.2169999999999996,2.726,2.664,2.521,1.909,0.744,0.502,0.301,0.071
0.521,1.395,2.297,2.664,3.259,2.932,2.2140000000000004,0.852,0.577,0.323,0.077
0.493,1.31,2.208,2.521,2.932,3.348,2.292,0.905,0.61,0.347,0.079
0.301,0.857,1.6280000000000001,1.909,2.2140000000000004,2.292,2.326,0.682,0.461,0.301,0.059
0.145,0.432,0.649,0.744,0.852,0.905,0.682,0.471,0.27,0.11699999999999999,0.025
0.097,0.278,0.428,0.502,0.577,0.61,0.461,0.27,0.212,0.093,0.019
0.054,0.163,0.263,0.301,0.323,0.347,0.301,0.11699999999999999,0.093,0.088,0.013000000000000001
0.019,0.043,0.059,0.071,0.077,0.079,0.059,0.025,0.019,0.013000000000000001,0.01
