lo,hi,val,err
0.0,10.0,3.73,3.47
10.0,20.0,6.29,3.35
20.0,30.0,11.59,4.24
30.0,40.0,13.14,5.19
40.0,50.0,19.07,5.6
50.0,60.0,31.04,8.12
60.0,120.0,20.46,6.1
120.0,135.0,10.15,5.48
135.0,150.0,7.81,3.5
150.0,165.0,2.83,2.64
165.0,180.0,0.34,0.5
