8.340174e-81,8.687804e-81,1.216613e-80,6.114965e-81,5.476408e-81,4.851458e-81,4.533212e-81,2.570424e-81,1.104157e-81,7.802773e-82,-1.619293e-83
8.687804e-81,3.801026e-80,2.261018e-80,1.955691e-80,1.936917e-80,1.807203e-80,1.399774e-80,5.818777e-81,3.659951e-81,1.453832e-81,2.285839e-82
1.216613e-80,2.261018e-80,5.914976e-80,2.572944e-80,1.470131e-80,2.106081e-80,1.350276e-80,1.122334e-80,5.778394e-81,1.351498e-81,2.964025e-83
6.114965e-81,1.955691e-80,2.572944e-80,2.650323e-80,1.700686e-80,1.288695e-80,1.149345e-80,7.991038e-81,4.218698e-81,1.090818e-81,6.223701e-84
5.476408e-81,1.936917e-80,1.470131e-80,1.700686e-80,2.866120e-80,1.621875e-80,1.260950e-80,6.106466e-81,2.316436e-81,9.098852e-82,2.145732e-82
4.851458e-81,1.807203e-80,2.106081e-80,1.288695e-80,1.621875e-80,1.899740e-80,1.076047e-80,5.282346e-81,2.883871e-81,8.635389e-82,2.169545e-82
4.533212e-81,1.399774e-80,1.350276e-80,1.149345e-80,1.260950e-80,1.076047e-80,1.000837e-80,4.999332e-81,2.548839e-81,8.707485e-82,9.071241e-83
2.570424e-81,5.818777e-81,1.122334e-80,7.991038e-81,6.106466e-81,5.282346e-81,4.999332e-81,4.988170e-81,2.123881e-81,3.993349e-82,9.232080e-84
1.104157e-81,3.659951e-81,5.778394e-81,4.218698e-81,2.316436e-81,2.883871e-81,2.548839e-81,2.123881e-81,1.334369e-81,3.527649e-82,1.661311e-83
7.802773e-82,1.453832e-81,1.351498e-81,1.090818e-81,9.098852e-82,8.635389e-82,8.707485e-82,3.993349e-82,3.527649e-82,3.205225e-82,6.272364e-83
-1.619293e-83,2.285839e-82,2.964025e-83,6.223701e-84,2.145732e-82,2.169545e-82,9.071241e-83,9.232080e-84,1.661311e-83,6.272364e-83,5.382843e-83
