lo,hi,val,err
0,12,4.570813e-42,8.152938e-43
12,18,8.446312e-42,1.659108e-42
18,24,8.966449e-42,1.330987e-42
24,32,9.316193e-42,1.472986e-42
32,40,9.393881e-42,1.389275e-42
40,50,9.012907e-42,1.236283e-42
50,60,7.475223e-42,1.681330e-42
60,75,6.252547e-42,9.605039e-43
75,95,5.215680e-42,8.685123e-43
95,120,3.733565e-42,7.111243e-43
120,180,1.450369e-42,2.263357e-43
