6.374854e-85,9.322214e-85,9.135407e-85,1.468879e-84,1.638965e-84,1.844411e-84,7.974652e-85,6.327036e-85,1.173676e-84,7.772751e-85,5.164534e-85,1.033881e-85
9.322214e-85,5.057099e-84,2.720962e-84,4.635537e-84,7.098973e-84,5.869761e-84,4.666141e-84,4.554983e-84,3.980060e-84,2.847345e-84,1.995547e-84,5.414819e-85
9.135407e-85,2.720962e-84,2.086302e-83,1.390380e-83,1.340408e-84,3.996713e-84,3.566527e-84,2.203187e-85,6.931142e-84,3.428222e-84,1.296778e-85,-1.486481e-85
1.468879e-84,4.635537e-84,1.390380e-83,1.771279e-83,8.535903e-84,8.424213e-84,6.655282e-84,3.375025e-84,8.697581e-84,5.577052e-84,2.174944e-84,3.768451e-85
1.638965e-84,7.098973e-84,1.340408e-84,8.535903e-84,2.223846e-83,1.624338e-83,1.163373e-83,1.424064e-83,8.186229e-84,6.236550e-84,5.909717e-84,1.652920e-84
1.844411e-84,5.869761e-84,3.996713e-84,8.424213e-84,1.624338e-83,2.265125e-83,1.014906e-83,1.162198e-83,7.160533e-84,3.958261e-84,4.886943e-84,1.420931e-84
7.974652e-85,4.666141e-84,3.566527e-84,6.655282e-84,1.163373e-83,1.014906e-83,1.281073e-83,1.085119e-83,5.503558e-84,3.980684e-84,3.634028e-84,1.088784e-84
6.327036e-85,4.554983e-84,2.203187e-85,3.375025e-84,1.424064e-83,1.162198e-83,1.085119e-83,1.805390e-83,4.673439e-84,3.531470e-84,5.533799e-84,1.694087e-84
1.173676e-84,3.980060e-84,6.931142e-84,8.697581e-84,8.186229e-84,7.160533e-84,5.503558e-84,4.673439e-84,1.197016e-83,7.294291e-84,2.510821e-84,4.773690e-85
7.772751e-85,2.847345e-84,3.428222e-84,5.577052e-84,6.236550e-84,3.958261e-84,3.980684e-84,3.531470e-84,7.294291e-84,9.073839e-84,3.359929e-84,6.107988e-85
5.164534e-85,1.995547e-84,1.296778e-85,2.174944e-84,5.909717e-84,4.886943e-84,3.634028e-84,5.533799e-84,2.510821e-84,3.359929e-84,3.965345e-84,8.266189e-85
1.033881e-85,5.414819e-85,-1.486481e-85,3.768451e-85,1.652920e-84,1.420931e-84,1.088784e-84,1.694087e-84,4.773690e-85,6.107988e-85,8.266189e-85,2.703622e-85
