6.647039e-85,7.732042e-85,5.959264e-85,5.853514e-85,5.900078e-85,4.363309e-85,4.428052e-85,3.943748e-85,2.736463e-85,2.693784e-85,6.261039e-86
7.732042e-85,2.752639e-84,1.945299e-84,1.372132e-84,1.382779e-84,4.996326e-85,-4.677591e-85,7.035259e-85,7.554475e-87,9.051711e-85,5.286252e-86
5.959264e-85,1.945299e-84,1.771525e-84,1.359172e-84,1.287008e-84,7.037937e-85,6.341461e-86,6.369344e-85,2.045229e-85,6.366433e-85,8.523187e-86
5.853514e-85,1.372132e-84,1.359172e-84,2.169687e-84,1.738245e-84,1.116771e-84,1.080109e-84,7.921455e-85,7.699629e-85,6.090047e-85,1.839022e-85
5.900078e-85,1.382779e-84,1.287008e-84,1.738245e-84,1.930086e-84,1.219373e-84,9.149369e-85,6.050460e-85,5.994128e-85,5.268639e-85,1.751174e-85
4.363309e-85,4.996326e-85,7.037937e-85,1.116771e-84,1.219373e-84,1.528397e-84,1.478102e-84,6.697806e-85,7.470705e-85,1.931595e-85,2.015245e-85
4.428052e-85,-4.677591e-85,6.341461e-86,1.080109e-84,9.149369e-85,1.478102e-84,2.826871e-84,8.840984e-85,1.265799e-84,-1.724528e-85,2.813696e-85
3.943748e-85,7.035259e-85,6.369344e-85,7.921455e-85,6.050460e-85,6.697806e-85,8.840984e-85,9.225677e-85,5.360404e-85,3.263234e-85,1.238359e-85
2.736463e-85,7.554475e-87,2.045229e-85,7.699629e-85,5.994128e-85,7.470705e-85,1.265799e-84,5.360404e-85,7.543136e-85,8.540267e-86,1.498394e-85
2.693784e-85,9.051711e-85,6.366433e-85,6.090047e-85,5.268639e-85,1.931595e-85,-1.724528e-85,3.263234e-85,8.540267e-86,5.056978e-85,1.981497e-86
6.261039e-86,5.286252e-86,8.523187e-86,1.839022e-85,1.751174e-85,2.015245e-85,2.813696e-85,1.238359e-85,1.498394e-85,1.981497e-86,5.122786e-86
