lo,hi,val,err
0.0,0.02,1.455213e-38,2.334124e-39
0.02,0.04,1.178528e-38,1.886267e-39
0.04,0.08,1.469020e-38,2.031825e-39
0.08,0.12,1.570710e-38,1.889674e-39
0.12,0.16,1.171917e-38,1.526009e-39
0.16,0.24,6.305338e-39,8.974837e-40
0.24,0.32,3.161022e-39,5.462626e-40
0.32,0.4,1.620959e-39,4.271862e-40
0.4,0.6,3.366010e-40,1.467126e-40
0.6,0.799,2.017013e-41,2.433869e-41
