0.012016,0.004494,6.3e-05,-0.000621,-0.000155,0.000284,-1e-06,-0.000668,-0.001215,-0.001407,-0.001891,-0.002439,-0.001595,-0.000932,-0.000255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004494,0.003598,0.001038,0.000263,0.000218,0.000257,1e-05,-0.000325,-0.000518,-0.000658,-0.000864,-0.001113,-0.000794,-0.000567,-0.000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.3e-05,0.001038,0.002376,0.000723,0.000407,0.000227,1.2e-05,-7.2e-05,0.000162,0.000193,0.000299,0.000279,9.7e-05,-5e-05,-0.000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000621,0.000263,0.000723,0.001363,0.000302,0.000174,9e-06,-2.6e-05,0.000121,9.7e-05,0.000145,0.000128,-2e-05,-7.4e-05,-0.00015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000155,0.000218,0.000407,0.000302,0.001094,0.000147,6e-06,-3.9e-05,2.7e-05,-2.2e-05,-1.7e-05,-6.5e-05,-0.000127,-0.000114,-0.000155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000284,0.000257,0.000227,0.000174,0.000147,0.001053,5e-06,-7.6e-05,-3.8e-05,-9.5e-05,-0.000139,-0.000199,-0.00021,-0.000153,-0.000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1e-06,1e-05,1.2e-05,9e-06,6e-06,5e-06,0.000728,4e-06,3e-06,2e-06,3e-06,6e-06,2e-06,5e-06,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000668,-0.000325,-7.2e-05,-2.6e-05,-3.9e-05,-7.6e-05,4e-06,0.000883,0.000127,0.00016,0.000221,0.000319,0.000251,0.00018,0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.001215,-0.000518,0.000162,0.000121,2.7e-05,-3.8e-05,3e-06,0.000127,0.001245,0.000523,0.000705,0.000842,0.000585,0.000381,0.000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.001407,-0.000658,0.000193,9.7e-05,-2.2e-05,-9.5e-05,2e-06,0.00016,0.000523,0.001778,0.001088,0.001275,0.000917,0.000608,0.000555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.001891,-0.000864,0.000299,0.000145,-1.7e-05,-0.000139,3e-06,0.000221,0.000705,0.001088,0.002848,0.001784,0.001277,0.000839,0.000733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.002439,-0.001113,0.000279,0.000128,-6.5e-05,-0.000199,6e-06,0.000319,0.000842,0.001275,0.001784,0.003783,0.001568,0.001035,0.000875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.001595,-0.000794,9.7e-05,-2e-05,-0.000127,-0.00021,2e-06,0.000251,0.000585,0.000917,0.001277,0.001568,0.00265,0.00079,0.000679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000932,-0.000567,-5e-05,-7.4e-05,-0.000114,-0.000153,5e-06,0.00018,0.000381,0.000608,0.000839,0.001035,0.00079,0.002281,0.000516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000255,-0.000413,-0.000152,-0.00015,-0.000155,-0.000115,5e-06,0.000103,0.000317,0.000555,0.000733,0.000875,0.000679,0.000516,0.003133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
