lo,hi,val,err
0.0,0.075,4605.600000,358.800000
0.075,0.15,16701.066667,1102.666667
0.15,0.25,35853.300000,2411.600000
0.25,0.325,56043.600000,3830.666667
0.325,0.4,68124.533333,4694.133333
0.4,0.475,72361.600000,5096.133333
0.475,0.55,67459.066667,5445.200000
0.55,0.7,58534.866667,5168.600000
0.7,0.85,37721.200000,3945.800000
0.85,1.0,19939.400000,2357.000000
1.0,1.25,7563.800000,1095.560000
1.25,1.5,2101.440000,341.040000
1.5,2.5,132.900000,23.480000
