lo,hi,val,err
0.0,0.035,1.932268672232284,0.3645341076478523
0.035,0.105,1.063608731813802,0.1450397061908117
0.105,0.1225,1.017445841672503,0.10581876347927607
0.1225,0.14,0.9819955048700486,0.09877376379500595
0.14,0.1575,0.8980729595199621,0.10733981043730155
0.1575,0.175,0.7884018071768536,0.09153283954063497
0.175,0.1925,0.7312255161376704,0.07418015250812143
0.1925,0.21,0.6157454902329731,0.06930690292975396
0.21,0.245,0.54638144656999,0.05110865914060601
0.245,0.28,0.4212345286328002,0.03963542116245884
0.28,0.315,0.3387319877832942,0.03205194747992342
0.315,0.35,0.2588685535423631,0.026978210531444464
0.35,0.42,0.199392146512013,0.019788862859735308
0.42,0.525,0.1135646006015126,0.013870122774132196
0.525,0.8,0.03351091849182469,0.011607189313445702
