lo,hi,val,err
-1.0,-0.6,0.04233757280513083,0.004241654474570778
-0.6,-0.5,0.04690889820961405,0.004283756157268384
-0.5,-0.4,0.04903715000642538,0.005165409761892698
-0.4,-0.3,0.05573923547504483,0.005285630142978275
-0.3,-0.2,0.06665233855827266,0.00562018665646701
-0.2,-0.1,0.0770622762599996,0.0062060081289403305
-0.1,0.0,0.08831259941154444,0.006813895910088651
0.0,0.1,0.09836337838710496,0.007654151293640208
0.1,0.2,0.1108902039798381,0.008239910926612104
0.2,0.3,0.1305949594498756,0.009146180518100271
0.3,0.4,0.1590906121724834,0.01052982697928701
0.4,0.5,0.1974972237210489,0.012608895109805668
0.5,0.6,0.2401982781438254,0.015050281604104824
0.6,0.7,0.3004542967906431,0.0184184821778102
0.7,0.8,0.3918277531982404,0.02557155696862416
0.8,0.9,0.5392440213982327,0.039815647420970476
0.9,1.0,0.7085125548841256,0.05879185273212736
