lo,hi,val,err
0,10,7.560303e-41,7.108816e-42
10,30,2.895764e-41,3.599953e-42
30,50,1.198923e-41,1.789576e-42
50,80,5.891415e-42,9.491666e-43
80,120,2.855317e-42,4.694702e-43
120,180,1.724410e-42,2.831296e-43
