lo,hi,val,err
0,40,5.768133e-42,1.285013e-42
40,80,7.913589e-42,1.519044e-42
80,120,1.188617e-41,2.392197e-42
120,150,1.689737e-41,3.810094e-42
150,180,1.348398e-41,5.554495e-42
