# Covariance matrix for 1D \cos\theta_\mu cross section
0.151500,0.075317,0.102699,0.105906,0.076974,0.091111,0.056815,0.053084,0.146760,0.066646,0.120355,0.058711,0.127565,0.187183,0.177576,0.163115,0.260581,0.335720,0.251332,0.319508,0.318684,0.537461,0.614957,0.495932,0.859198,0.799182,0.854616,1.261222,1.176618
0.075317,0.182879,0.071801,0.184012,0.095762,0.102597,0.066664,0.063202,0.166485,0.047593,0.138482,0.020855,0.159376,0.192657,0.222972,0.196470,0.290395,0.378763,0.280150,0.401657,0.271100,0.458788,0.770657,0.719447,1.030359,0.851533,0.591092,0.598383,0.751550
0.102699,0.071801,0.299543,0.052772,0.165224,0.048289,0.087824,0.150638,0.233466,0.098693,0.096010,0.119335,0.129421,0.302777,0.300010,0.236026,0.268347,0.302375,0.352133,0.512007,0.536405,0.606759,0.590104,0.776771,1.158083,0.984831,0.931667,1.226727,1.138258
0.105906,0.184012,0.052772,0.399250,0.045081,0.192169,0.106682,0.070570,0.190820,-0.017772,0.119642,-0.019738,0.250948,0.269078,0.335012,0.244761,0.319545,0.539202,0.424508,0.480852,0.270995,0.735086,1.149123,0.732606,1.127540,1.047484,0.618743,0.669953,0.995771
0.076974,0.095762,0.165224,0.045081,0.323957,0.083059,0.083629,0.107123,0.229691,0.185623,0.213292,0.159593,0.159521,0.256761,0.285989,0.251647,0.301893,0.383344,0.485253,0.647799,0.666489,0.534744,0.659366,0.609598,0.987296,0.672345,0.561361,0.799463,0.646761
0.091111,0.102597,0.048289,0.192169,0.083059,0.326965,0.124820,0.142494,0.108710,0.152869,0.155741,0.189045,0.336898,0.210837,0.145089,0.333102,0.474151,0.443200,0.624444,0.585353,0.514124,0.515146,1.329597,1.049624,0.605877,0.475199,0.550651,0.401641,0.206579
0.056815,0.066664,0.087824,0.106682,0.083629,0.124820,0.226383,0.120461,0.124052,0.167512,0.274297,0.190034,0.220236,0.222448,0.284790,0.298190,0.371230,0.408919,0.487858,0.573473,0.696326,0.618548,1.159912,0.689882,0.851067,0.784911,0.748587,0.750029,0.193723
0.053084,0.063202,0.150638,0.070570,0.107123,0.142494,0.120461,0.340474,0.193057,0.305135,0.194670,0.322311,0.227947,0.245994,0.370952,0.450995,0.327052,0.337553,0.720931,0.680655,0.759994,0.899349,0.903589,1.296441,0.763232,1.155106,1.305518,0.969712,0.492682
0.146760,0.166485,0.233466,0.190820,0.229691,0.108710,0.124052,0.193057,0.661717,-0.073347,0.296049,0.108349,0.310663,0.487682,0.549297,0.316893,0.559784,0.799042,0.520427,1.023142,0.729426,1.093561,1.543970,1.118231,2.144912,1.701729,1.252584,1.594267,1.551830
0.066646,0.047593,0.098693,-0.017772,0.185623,0.152869,0.167512,0.305135,-0.073347,1.210847,0.246350,0.695586,0.241554,0.423068,0.199709,0.713444,0.658962,0.168465,1.494608,0.769472,1.717887,0.803862,1.784201,1.493655,0.897364,1.332610,1.747051,1.436631,0.877345
