# Covariance matrix for 1D p_\mu cross section
9.564110,7.284470,6.113650,5.980420,3.894910,5.343190,2.254260,3.543820,3.344610,1.989380,1.677910,1.974440,0.225519,0.445133
7.284470,9.786100,6.209600,6.494720,2.920070,6.256870,2.460030,2.986080,3.646580,2.306710,2.148010,1.600400,-0.376328,0.332344
6.113650,6.209600,7.403390,6.204560,5.339550,4.507810,4.304470,4.356460,3.761430,3.176690,2.175040,1.406340,-0.018432,0.239488
5.980420,6.494720,6.204560,10.590100,3.068550,6.844320,2.819480,2.794210,4.361200,2.961570,2.199100,1.037760,-0.459753,0.256841
3.894910,2.920070,5.339550,3.068550,8.991770,3.920680,5.719310,5.446950,4.046990,3.564480,2.948840,2.303560,0.615425,0.210049
5.343190,6.256870,4.507810,6.844320,3.920680,9.067750,3.791870,4.279310,4.680340,3.461920,2.860920,2.316030,0.503783,0.334137
2.254260,2.460030,4.304470,2.819480,5.719310,3.791870,6.561860,4.914430,4.705410,4.544410,3.432520,2.213600,0.938510,0.395816
3.543820,2.986080,4.356460,2.794210,5.446950,4.279310,4.914430,7.516580,5.004230,4.465790,4.094790,3.454870,1.503330,0.403464
3.344610,3.646580,3.761430,4.361200,4.046990,4.680340,4.705410,5.004230,6.285760,4.232930,4.344780,3.555720,1.307050,0.381048
1.989380,2.306710,3.176690,2.961570,3.564480,3.461920,4.544410,4.465790,4.232930,5.572420,4.130360,2.893250,1.253650,0.357985
1.677910,2.148010,2.175040,2.199100,2.948840,2.860920,3.432520,4.094790,4.344780,4.130360,4.530620,3.226010,1.589070,0.493366
1.974440,1.600400,1.406340,1.037760,2.303560,2.316030,2.213600,3.454870,3.555720,2.893250,3.226010,3.454190,1.929430,0.472324
0.225519,-0.376328,-0.018432,-0.459753,0.615425,0.503783,0.938510,1.503330,1.307050,1.253650,1.589070,1.929430,1.940910,0.424027
0.445133,0.332344,0.239488,0.256841,0.210049,0.334137,0.395816,0.403464,0.381048,0.357985,0.493366,0.472324,0.424027,0.218341
