40656,19080.2,22924.8,22877.7,8074.21,83.6853,0,0,7164.54,19057.1,13386.6,11492.7,8513.95,388.228,0,0,12906.8,14678.3,13774.8,12693.6,7121.54,1690.72,7.62744,0,8872.79,7505,7440.95,7378.83,3556.85,633.342,15.612,0,1661.31,4196.8,5122.22,2965.38,-938.53,-622.047,-877.401,-160.38,298.553,2379.16,2276.44,-129.103,-912.801,-1093.76,-950.809,-229.499,4195.46,7825.95,3700.61,1676.39,2100.24,76.5751,-85.3769,-149.908,6049.84,9955.97,14812.3,7919.27,5927.17,204.873,-604.198,-504.1,9780.78,1633.81,7229.69,2978.07,472.06,-866.276,-206.356,108.245,9182.58,5751.94,14448.4,9422.27,1920.33,291.037,-432.247,-80.4476
19080.2,45442.5,23160,22025.7,8385.16,58.9808,0,0,7494.89,19751,11883.4,11533.3,8739.41,378.691,0,0,14062.7,14378.9,13687.5,12398.8,7246.88,1736.81,32.9998,0,9040.72,7229.85,6540.66,7096.26,3662.35,604.755,95.4493,0,1139.89,3716.41,4638.42,2637.18,-1192.96,-703.236,-855.373,-186.082,266.804,1478.19,1958.79,-1122.94,-1312.04,-1038.41,-992.777,-249.007,3435.85,8147.38,2757.26,1516.25,1823.07,285.585,-35.939,-104.028,6683.8,10183.8,14445.6,7811.02,6183.69,19.7138,-769.53,-514.603,8615.4,1268.53,7080.72,1506.31,-129.064,-934.537,-222.274,185.702,5081.56,4881.73,17132.3,10377.9,1432.99,555.187,-194.655,-80.6136
22924.8,23160,42488.1,23818.7,8680.41,103.667,0,0,9831.56,20836.4,13842.8,13097,9965.45,593.891,0,0,14324.3,15364.4,15208.9,14103.7,8107.86,2008.5,1.5572,0,8917.4,7639.03,8245.04,7768.79,4214.16,742.06,-61.6703,0,1418.83,3705.22,5226.08,2982.9,-1298.19,-686.99,-1074.1,-164.566,-43.8632,1511.44,1870.73,-1327.87,-1282.36,-1266.88,-1133.41,-262.829,4179.05,8237.73,3398.25,1694.6,2183.35,15.1374,-224.48,-225.277,5667.51,10174,16646.2,9552.9,6453.37,237.817,-743.94,-597.897,11593.2,3590.99,5347.96,4336.83,178.011,-869.977,-364.054,92.0082,6790.07,5012.45,16254.3,11347.6,2219.28,374.038,-629.911,-114.478
22877.7,22025.7,23818.7,36484.3,8208.73,75.7936,0,0,10141.3,21874.1,14175.3,12380.4,9449.42,361.02,0,0,12535,14978.3,14483.8,15055.6,7768.56,1673.67,-39.4294,0,7929.74,7342.92,8815.14,7790.55,3655.96,293.035,-356.605,0,850.81,3159.79,5025.61,2719.61,-1898.47,-1154.54,-1424.35,-166.155,-1311.75,1922.67,851.847,-670.088,-1781.39,-1899.48,-1394.11,-302.37,4101.18,6220.89,2294.67,899.693,1662.81,-1015.76,-558.161,-367.954,2807.57,8194.52,15864.7,9086.43,5210.54,-343.641,-979.118,-718.102,11543.9,2193.78,7176.27,3983.13,264.101,-1714.11,-615.374,-145.739,10510.8,7824.4,11747.9,7051.69,2414.38,-667.444,-1536.65,-259.31
8074.21,8385.16,8680.41,8208.73,6021.43,40.9015,0,0,3132.14,7391.51,4926.91,4215.35,3217.13,107.281,0,0,4805.85,5370.57,5086.31,4986.2,2835.11,635.253,7.8491,0,3151.79,2592.17,2703.09,2805.77,1562.35,236.627,14.2045,0,347.595,1343.92,1769.96,1059.48,-329.899,-252.18,-327.477,-64.0592,-88.0058,606.858,623.159,-167.572,-364.154,-419.844,-369.546,-89.2989,1205.01,2675.65,974.669,528.818,819.734,55.6322,-17.8777,-40.3354,1863.18,3673.99,5355.09,3061.85,2501.16,69.9151,-235.728,-184.79,3338.09,296.667,2981.4,947.495,287.284,-310.71,-23.6802,65.1824,2672.32,1806.81,5564.38,3518.85,873.997,169.196,-68.6031,1.82762
83.6853,58.9808,103.667,75.7936,40.9015,3.89828,0,0,23.3188,60.1211,35.6732,36.8524,26.6631,-1.99679,0,0,34.8218,36.4797,45.0487,45.7936,20.7367,0.436179,-0.264451,0,23.8573,9.86269,21.602,15.612,5.50134,-4.12443,-0.375619,0,-3.68141,-0.228816,16.9713,-12.6499,-14.6247,-10.7244,-5.89999,-0.28078,-9.45069,-18.9329,-10.0297,-27.9845,-11.1976,-14.5408,-5.70716,-1.78528,-1.02532,0.353305,4.70977,-29.5298,-0.190355,-10.0038,-2.29178,-2.24738,9.38125,28.5059,42.3538,15.4044,3.37423,-5.03466,-2.68329,-5.54106,87.1094,-49.5864,-98.0312,48.4258,-29.6656,-17.0076,-5.33384,-0.573705,20.8578,-66.3333,-14.2761,26.845,15.5698,-4.66967,-6.19232,-1.57744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7164.54,7494.89,9831.56,10141.3,3132.14,23.3188,0,0,13012.3,8545.2,6989.4,5858.76,4006.38,473.839,0,0,4236.26,5658.29,6693.51,6490.57,3317.88,1047.62,-35.5734,0,2961.89,3940.46,5132.25,3915.42,1922.12,691.915,-102.287,0,1884.45,2383.37,3195.77,2354.13,220.788,173.197,-337.252,4.4284,451.493,2295.24,1601.89,1125.42,153.672,-291.97,-256.392,-29.994,3498.32,3293.48,3029.03,1904.63,1657.1,-71.8595,-104.277,-105.223,2174.82,3299.37,8040.61,4860.29,2573.99,743.649,58.327,-85.5798,6132.01,4462.58,3490.54,4773.15,1672.1,503.199,4.14095,-43.4402,8337.83,6067.82,4041.75,3875.5,1923.02,177.057,-493.655,32.7937
19057.1,19751,20836.4,21874.1,7391.51,60.1211,0,0,8545.2,32051.4,12811.3,10996.9,8242.28,499.276,0,0,11348.2,13553.3,12521.2,12501.8,6863.49,1753.39,-18.4723,0,8078.74,6942.45,7598.86,7206.01,3468.14,754.734,-108.847,0,1908.63,3909.28,5000.82,3060.98,-893.552,-520.32,-916.275,-126.903,-135.191,2310.06,1710.86,-368.745,-1143.82,-1191.41,-958.525,-208.021,4345.51,6787.46,3517.14,1757.98,1928.69,-239.751,-231.843,-209.228,5263.86,8541.08,14665.7,8012.98,5314.95,342.094,-537.148,-452.129,10030.7,3186.42,6811.2,4368.56,1026.76,-530.065,-280.517,-4.52622,10287.6,7798.67,12643.7,8355.73,2174.38,147.697,-773.784,-107.876
