lo,hi,val,err
1.5,2,80.58,11.7759
2,2.5,126,14.469
2.5,3,156.23,15.8524
3,3.5,128.35,12.7865
3.5,4,78.27,8.95004
4,5,32.05,3.86695
5,6,15.33,1.69523
6,8,8.99,1.00319
8,10,4.86,0.605392
10,15,2.4,0.308707
