lo,hi,val,err
0,0.025,728.99,106.432
0.025,0.05,899.15,116.24
0.05,0.1,913.31,97.6017
0.1,0.2,813.52,80.6494
0.2,0.4,519,49.583
0.4,0.8,187.09,21.0806
0.8,1.2,37.03,7.58931
1.2,2,5.57,1.46328
