lo,hi,val,err
1.5,2,263.74,47.172
2,2.5,340.19,39.189
2.5,3,413,42.3081
3,3.5,449.84,38.8446
3.5,4,411.51,44.599
4,5,404.97,60.7842
5,6,449.33,58.8545
6,7,590.92,70.3543
7,8,559.46,73.4622
8,10,525.04,67.753
