40.8076,8.67503,15.5593,15.2597,3.23483,-0.0331647,0.797045,0.761977,0.539003,0.184871,55.1711,52.4543,58.5148,28.0212,13.1055,1.82273,2.73055,1.59913,1.04995,0.47284,92.5491,87.7301,88.5545,52.3248,16.5449,4.60417,2.24702,2.66502,1.82214,0.948067,55.3742,70.5399,56.4502,20.9412,-9.45219,-2.97777,2.72259,0.783218,0.955338,0.197939,-0.224812,8.08483,3.85702,-6.6067,-6.94696,-2.06068,-0.384138,-0.432018,0.190397,0.0162933,0,0,-0.807037,-2.57503,-1.61351,-0.708158,-0.495448,-0.215726,-0.0929423,-0.133978
8.67503,21.7404,6.83139,7.63174,3.84595,0.452759,0.656126,0.521476,0.521566,0.0705344,33.7248,29.4451,32.8377,22.8942,12.093,3.73068,2.10783,1.04085,0.903235,0.326056,48.9942,52.0353,57.63,39.5084,18.0943,6.45064,2.80795,2.28866,1.08245,0.621708,32.5521,46.8463,42.6528,24.151,7.34461,1.74304,2.69724,1.30416,0.736125,0.356289,0.269996,5.1233,12.3394,3.58804,0.144873,0.125501,0.633208,0.364018,0.463335,0.170974,0,0,-0.0722004,-0.145403,0.282756,-0.0188765,0.0716026,0.0924303,0.00959472,-0.00565738
15.5593,6.83139,28.1726,10.8724,2.32616,0.91395,0.634151,0.649401,0.379372,0.20042,43.3054,39.2795,43.0445,20.6725,12.6135,4.00893,2.88808,1.47899,0.811025,0.44022,69.2645,66.4873,68.6319,48.0093,18.742,8.32378,2.73915,2.62072,1.75149,0.826731,43.8078,62.6494,54.2051,32.9034,5.70508,2.92661,4.19612,1.82074,1.2089,0.376409,-0.275379,10.503,12.1326,2.3128,0.744293,1.06606,0.743674,0.391346,0.365726,0.216656,0,0,-0.452991,-1.32204,-0.952193,-0.123684,-0.164306,-0.0123575,0.144423,-0.0055921
15.2597,7.63174,10.8724,26.2685,3.8703,-0.0685825,0.655095,0.642431,0.460671,0.157719,41.2935,40.9864,40.6567,23.7328,10.7321,3.42123,2.80638,1.37779,0.890683,0.432915,65.1943,63.5329,69.8116,47.2872,19.8542,8.50956,2.9951,2.63593,1.58009,0.788734,41.9844,59.8309,52.8241,31.9572,7.22663,3.02386,3.96554,1.78715,1.09571,0.410913,-0.096612,9.05597,12.7955,3.02068,0.692773,0.839597,0.753124,0.401496,0.406392,0.201892,0,0,-0.33863,-0.962571,-0.557273,-0.108121,-0.101332,0.0119083,0.106196,-0.00941461
3.23483,3.84595,2.32616,3.8703,13.2579,1.48507,0.0571093,0.327334,0.283823,0.0646497,7.85602,12.6929,15.9643,11.8126,10.2059,3.85827,1.54562,0.707216,0.496497,0.235896,12.6795,19.1971,26.2782,27.7762,16.9538,9.25695,2.93791,1.82432,0.789095,0.383066,13.2276,28.647,31.4616,31.8642,22.1928,7.71611,3.68494,2.13758,0.859515,0.481588,0.16783,6.28303,18.6252,12.525,8.3367,3.43079,1.71869,1.16958,0.553682,0.343019,0,0,0.317376,1.29208,0.979368,0.617049,0.421171,0.298971,0.26786,0.135356
-0.0331647,0.452759,0.91395,-0.0685825,1.48507,2.09164,0.124022,0.0193258,0.0322909,0.0357357,-1.92307,1.0811,2.18723,3.42285,2.11629,2.02291,0.411266,0.171462,0.0803513,0.0755226,-0.552074,0.995487,3.84591,7.80861,5.70551,3.79777,0.916831,0.5382,0.278839,0.0977582,1.89666,7.48696,9.38754,13.0267,10.0871,3.89676,1.60503,0.943435,0.359361,0.194019,-0.0181259,2.89512,7.22456,5.74653,4.42258,1.89462,0.803153,0.554423,0.197418,0.151462,0,0,0.139908,0.573513,0.324746,0.31209,0.182285,0.129644,0.155532,0.0725926
0.797045,0.656126,0.634151,0.655095,0.0571093,0.124022,0.653219,0.0413803,0.00160725,0.00437612,2.35583,2.45162,2.79342,2.18057,1.11174,0.207222,0.248964,0.0103618,0.0487675,0.0277727,3.40081,3.64057,4.52855,3.40697,1.93968,0.775434,0.241931,0.175112,0.0792028,0.0503587,2.3198,3.39756,3.45465,2.2849,1.17227,0.370219,0.287188,0.143524,0.0715403,0.0404304,0.0277888,0.380126,1.29144,0.596499,0.219053,0.0910415,0.0848692,0.0575756,0.0419793,0.0190706,0,0,0.00880985,0.0513524,0.0649079,0.0211221,0.0191432,0.0157019,0.00695331,0.00240987
0.761977,0.521476,0.649401,0.642431,0.327334,0.0193258,0.0413803,0.328363,-0.00273375,-0.000496051,2.18473,2.18747,2.46519,1.61037,0.992954,0.345237,0.0470337,0.0617958,0.00657246,0.0183113,3.08034,3.69357,3.8343,3.0052,1.35772,0.693435,0.256768,0.164255,0.0844857,0.0509522,2.25229,3.80455,3.5382,2.56705,1.10662,0.362491,0.284037,0.160879,0.0831133,0.0347557,0.00529705,0.619605,1.3108,0.620288,0.343258,0.161337,0.100459,0.0626039,0.0429715,0.0233033,0,0,-0.00201402,0.0161008,0.0214128,0.0207454,0.015285,0.0145447,0.0147493,0.00614923
0.539003,0.521566,0.379372,0.460671,0.283823,0.0322909,0.00160725,-0.00273375,0.390946,-0.0119193,1.71535,1.85178,2.08109,1.7264,0.887426,0.399056,0.125057,-0.00955432,0.0734611,-0.0167743,2.52938,2.68479,3.85751,2.62247,1.62611,0.589059,0.239561,0.168803,0.0251976,0.0242339,1.76009,2.43635,2.59291,1.64046,0.961939,0.278519,0.185773,0.107383,0.0402487,0.0380224,0.0401074,0.117918,0.997478,0.455819,0.102161,0.0199147,0.0541679,0.0360239,0.0349363,0.0123053,0,0,0.0152768,0.059966,0.0830192,0.0122507,0.0193585,0.0131674,-0.000187046,-6.08526e-05
0.184871,0.0705344,0.20042,0.157719,0.0646497,0.0357357,0.00437612,-0.000496051,-0.0119193,0.030058,0.345478,0.427101,0.485914,0.248439,0.198474,0.0958337,0.0550815,0.027472,-0.0162664,0.000729472,0.770316,0.695496,0.689466,0.675705,0.262542,0.197006,0.0399379,0.0421866,0.0364295,0.00555653,0.539653,0.934029,0.854026,0.802816,0.327326,0.165709,0.107626,0.051497,0.0295468,0.00959716,-0.0129647,0.27175,0.307593,0.182023,0.167157,0.0905939,0.0341402,0.0219175,0.00732128,0.00773895,0,0,-0.00545811,-0.0119593,-0.0196617,0.0081368,0.00095539,0.00268805,0.00878509,0.00262247
