0.00567,0.00167,0.00135,0.00135,0.00113,0.00103,0.00083,0.00078,0.00081,0.00131,0.0007,0.0005,0.00045,0.00045,0.00045,0.00041,0.00045,0.00041
0.00167,0.0015,0.00088,0.00084,0.0008,0.00078,0.00072,0.00063,0.00064,0.00067,0.00047,0.00037,0.00034,0.00035,0.00036,0.00034,0.00033,0.00031
0.00135,0.00088,0.00119,0.00081,0.00074,0.00071,0.00065,0.00066,0.00069,0.00054,0.00039,0.00034,0.00032,0.00032,0.00032,0.00031,0.00034,0.00032
0.00135,0.00084,0.00081,0.00126,0.00077,0.00076,0.00065,0.00068,0.0007,0.00054,0.00037,0.00033,0.00035,0.00033,0.00033,0.00032,0.00035,0.00033
0.00113,0.0008,0.00074,0.00077,0.00104,0.00076,0.0007,0.00066,0.00066,0.00047,0.00036,0.00032,0.00032,0.00034,0.00034,0.00033,0.00033,0.0003
0.00103,0.00078,0.00071,0.00076,0.00076,0.00106,0.00073,0.00066,0.00065,0.00045,0.00036,0.00032,0.00033,0.00035,0.00037,0.00034,0.00032,0.0003
0.00083,0.00072,0.00065,0.00065,0.0007,0.00073,0.00093,0.00063,0.00062,0.00038,0.00034,0.00031,0.0003,0.00033,0.00034,0.00033,0.0003,0.00029
0.00078,0.00063,0.00066,0.00068,0.00066,0.00066,0.00063,0.00089,0.00068,0.00033,0.00029,0.00029,0.0003,0.00029,0.0003,0.00029,0.00032,0.00031
0.00081,0.00064,0.00069,0.0007,0.00066,0.00065,0.00062,0.00068,0.00102,0.00034,0.00029,0.0003,0.0003,0.00029,0.00028,0.00029,0.00034,0.00033
0.00131,0.00067,0.00054,0.00054,0.00047,0.00045,0.00038,0.00033,0.00034,0.0012,0.0003,0.00021,0.0002,0.0002,0.00019,0.00019,0.00018,0.00017
0.0007,0.00047,0.00039,0.00037,0.00036,0.00036,0.00034,0.00029,0.00029,0.0003,0.00055,0.00017,0.00016,0.00017,0.00017,0.00016,0.00015,0.00014
0.0005,0.00037,0.00034,0.00033,0.00032,0.00032,0.00031,0.00029,0.0003,0.00021,0.00017,0.00048,0.00015,0.00015,0.00014,0.00015,0.00014,0.00014
0.00045,0.00034,0.00032,0.00035,0.00032,0.00033,0.0003,0.0003,0.0003,0.0002,0.00016,0.00015,0.00052,0.00014,0.00014,0.00014,0.00015,0.00014
0.00045,0.00035,0.00032,0.00033,0.00034,0.00035,0.00033,0.00029,0.00029,0.0002,0.00017,0.00015,0.00014,0.00051,0.00016,0.00015,0.00014,0.00013
0.00045,0.00036,0.00032,0.00033,0.00034,0.00037,0.00034,0.0003,0.00028,0.00019,0.00017,0.00014,0.00014,0.00016,0.00054,0.00016,0.00014,0.00013
0.00041,0.00034,0.00031,0.00032,0.00033,0.00034,0.00033,0.00029,0.00029,0.00019,0.00016,0.00015,0.00014,0.00015,0.00016,0.00039,0.00014,0.00014
0.00045,0.00033,0.00034,0.00035,0.00033,0.00032,0.0003,0.00032,0.00034,0.00018,0.00015,0.00014,0.00015,0.00014,0.00014,0.00014,0.00056,0.00015
0.00041,0.00031,0.00032,0.00033,0.0003,0.0003,0.00029,0.00031,0.00033,0.00017,0.00014,0.00014,0.00014,0.00013,0.00013,0.00014,0.00015,0.00065
