lo,hi,val,err
2,3,0.333,0.035
3,4,0.313,0.024
4,5,0.308,0.022
5,7,0.308,0.023
7,9,0.321,0.022
9,12,0.325,0.023
12,15,0.324,0.02
15,18,0.331,0.024
18,22,0.316,0.025
