lo,hi,val,err
0.0,0.07,1.400000e-40,9.060000e-42
0.07,0.15,5.020000e-40,2.550000e-41
0.15,0.25,1.110000e-39,5.390000e-41
0.25,0.33,1.870000e-39,9.030000e-41
0.33,0.4,2.430000e-39,1.200000e-40
0.4,0.47,2.890000e-39,1.500000e-40
0.47,0.55,3.120000e-39,1.760000e-40
0.55,0.7,3.180000e-39,2.020000e-40
0.7,0.85,2.710000e-39,2.070000e-40
0.85,1.0,2.140000e-39,1.800000e-40
1.0,1.25,1.340000e-39,1.300000e-40
1.25,1.5,6.470000e-40,6.500000e-41
1.5,2.5,1.240000e-40,1.190000e-41
2.5,4.5,1.750000e-44,2.600000e-45
