lo,hi,val,err
0.0,0.07,3.560000e-41,3.710000e-42
0.07,0.15,1.430000e-40,1.310000e-41
0.15,0.25,3.240000e-40,2.800000e-41
0.25,0.33,5.230000e-40,4.550000e-41
0.33,0.4,6.870000e-40,5.930000e-41
0.4,0.47,7.740000e-40,6.660000e-41
0.47,0.55,8.440000e-40,7.560000e-41
0.55,0.7,8.460000e-40,7.830000e-41
0.7,0.85,7.390000e-40,6.550000e-41
0.85,1.0,6.170000e-40,5.250000e-41
1.0,1.25,4.400000e-40,3.420000e-41
1.25,1.5,2.840000e-40,2.020000e-41
1.5,2.5,9.920000e-41,6.510000e-42
2.5,4.5,2.360000e-42,2.530000e-43
