lo,hi,val,err
0.0,0.07,7.140000e-41,6.450000e-42
0.07,0.15,2.980000e-40,1.980000e-41
0.15,0.25,6.640000e-40,4.080000e-41
0.25,0.33,1.050000e-39,6.690000e-41
0.33,0.4,1.370000e-39,9.280000e-41
0.4,0.47,1.580000e-39,1.150000e-40
0.47,0.55,1.750000e-39,1.310000e-40
0.55,0.7,1.700000e-39,1.380000e-40
0.7,0.85,1.460000e-39,1.230000e-40
0.85,1.0,1.120000e-39,9.900000e-41
1.0,1.25,7.450000e-40,6.720000e-41
1.25,1.5,4.090000e-40,3.700000e-41
1.5,2.5,1.080000e-40,8.770000e-42
2.5,4.5,1.180000e-42,1.480000e-43
