1.068720e-83,7.707488e-84,1.413746e-83,2.540118e-83,3.058637e-83,2.976788e-83,3.617343e-83,3.102699e-83,3.263141e-83,3.391866e-83,2.909681e-83,3.421403e-83,4.410026e-83,2.014161e-83
7.707488e-84,7.387480e-83,6.079108e-83,1.025003e-82,1.246483e-82,1.406547e-82,1.477623e-82,1.406541e-82,1.824935e-82,1.580774e-82,1.433537e-82,1.627048e-82,2.125995e-82,1.536048e-82
1.413746e-83,6.079108e-83,2.901207e-82,2.345286e-82,2.870822e-82,3.243176e-82,3.651167e-82,3.218744e-82,4.046676e-82,3.350277e-82,2.855180e-82,3.441137e-82,4.324842e-82,3.489802e-82
2.540118e-83,1.025003e-82,2.345286e-82,6.724093e-82,5.109460e-82,5.888895e-82,6.088968e-82,5.273929e-82,6.796523e-82,5.795591e-82,4.874163e-82,5.972325e-82,6.593895e-82,5.808516e-82
3.058637e-83,1.246483e-82,2.870822e-82,5.109460e-82,9.635058e-82,6.978828e-82,7.413849e-82,6.345384e-82,7.982980e-82,6.815581e-82,5.275635e-82,6.964963e-82,7.513639e-82,6.781472e-82
2.976788e-83,1.406547e-82,3.243176e-82,5.888895e-82,6.978828e-82,1.341730e-81,9.012175e-82,7.884579e-82,1.024207e-81,7.643137e-82,7.076752e-82,6.922707e-82,8.382764e-82,8.142676e-82
3.617343e-83,1.477623e-82,3.651167e-82,6.088968e-82,7.413849e-82,9.012175e-82,1.503192e-81,8.644762e-82,1.068474e-81,9.160504e-82,7.140742e-82,8.319039e-82,9.032233e-82,8.007221e-82
3.102699e-83,1.406541e-82,3.218744e-82,5.273929e-82,6.345384e-82,7.884579e-82,8.644762e-82,1.281769e-81,9.787704e-82,7.939863e-82,6.952879e-82,7.620819e-82,9.238671e-82,7.744930e-82
3.263141e-83,1.824935e-82,4.046676e-82,6.796523e-82,7.982980e-82,1.024207e-81,1.068474e-81,9.787704e-82,2.213290e-81,1.190941e-81,9.915412e-82,1.182729e-81,1.506426e-81,1.255766e-81
3.391866e-83,1.580774e-82,3.350277e-82,5.795591e-82,6.815581e-82,7.643137e-82,9.160504e-82,7.939863e-82,1.190941e-81,1.787883e-81,8.720597e-82,1.215295e-81,1.416735e-81,1.080464e-81
2.909681e-83,1.433537e-82,2.855180e-82,4.874163e-82,5.275635e-82,7.076752e-82,7.140742e-82,6.952879e-82,9.915412e-82,8.720597e-82,1.621362e-81,1.018625e-81,1.273028e-81,1.030712e-81
3.421403e-83,1.627048e-82,3.441137e-82,5.972325e-82,6.964963e-82,6.922707e-82,8.319039e-82,7.620819e-82,1.182729e-81,1.215295e-81,1.018625e-81,2.472359e-81,1.736517e-81,1.443422e-81
4.410026e-83,2.125995e-82,4.324842e-82,6.593895e-82,7.513639e-82,8.382764e-82,9.032233e-82,9.238671e-82,1.506426e-81,1.416735e-81,1.273028e-81,1.736517e-81,3.181968e-81,1.650429e-81
2.014161e-83,1.536048e-82,3.489802e-82,5.808516e-82,6.781472e-82,8.142676e-82,8.007221e-82,7.744930e-82,1.255766e-81,1.080464e-81,1.030712e-81,1.443422e-81,1.650429e-81,3.389345e-81
