1.264415e-82,5.017065e-83,1.861578e-83,-2.749660e-84,-1.017731e-83,-9.043137e-84,-1.102517e-83,-1.666956e-83,-1.789077e-83,6.566682e-85
5.017065e-83,1.156904e-82,2.028307e-83,4.511782e-85,-8.015563e-84,-8.336491e-84,-6.951521e-84,-9.738212e-84,-7.562205e-84,8.230742e-84
1.861578e-83,2.028307e-83,4.782746e-83,7.015532e-84,3.678940e-84,4.990649e-84,6.696321e-84,7.644845e-84,1.224170e-83,1.936344e-83
-2.749660e-84,4.511782e-85,7.015532e-84,3.706831e-83,1.789610e-83,1.713689e-83,1.809130e-83,2.438395e-83,2.649414e-83,2.617543e-83
-1.017731e-83,-8.015563e-84,3.678940e-84,1.789610e-83,4.546223e-83,2.362174e-83,2.576191e-83,3.563001e-83,3.681642e-83,3.448374e-83
-9.043137e-84,-8.336491e-84,4.990649e-84,1.713689e-83,2.362174e-83,4.437104e-83,2.486049e-83,3.516058e-83,3.948493e-83,3.917678e-83
-1.102517e-83,-6.951521e-84,6.696321e-84,1.809130e-83,2.576191e-83,2.486049e-83,5.180455e-83,4.108020e-83,4.749716e-83,4.754130e-83
-1.666956e-83,-9.738212e-84,7.644845e-84,2.438395e-83,3.563001e-83,3.516058e-83,4.108020e-83,9.475537e-83,7.404793e-83,7.784261e-83
-1.789077e-83,-7.562205e-84,1.224170e-83,2.649414e-83,3.681642e-83,3.948493e-83,4.749716e-83,7.404793e-83,1.511871e-82,1.160811e-82
6.566682e-85,8.230742e-84,1.936344e-83,2.617543e-83,3.448374e-83,3.917678e-83,4.754130e-83,7.784261e-83,1.160811e-82,1.955889e-82
