1.640024e-80,5.295981e-80,2.543158e-80,1.873571e-80,1.728765e-80,1.347432e-80,1.030589e-80,5.760875e-81,7.825501e-82,2.013715e-84
5.295981e-80,2.127218e-79,1.112301e-79,8.935114e-80,8.955999e-80,7.130351e-80,5.391596e-80,2.854706e-80,3.876036e-81,9.263964e-84
2.543158e-80,1.112301e-79,8.645158e-80,8.077320e-80,9.075637e-80,7.331383e-80,5.444644e-80,2.690523e-80,3.831429e-81,9.238908e-84
1.873571e-80,8.935114e-80,8.077320e-80,8.913425e-80,1.030835e-79,8.305827e-80,6.108341e-80,2.891569e-80,4.213866e-81,9.977483e-84
1.728765e-80,8.955999e-80,9.075637e-80,1.030835e-79,1.300100e-79,1.076425e-79,7.955849e-80,3.689766e-80,5.300119e-81,1.323556e-83
1.347432e-80,7.130351e-80,7.331383e-80,8.305827e-80,1.076425e-79,9.554230e-80,7.085236e-80,3.328724e-80,4.732325e-81,1.236991e-83
1.030589e-80,5.391596e-80,5.444644e-80,6.108341e-80,7.955849e-80,7.085236e-80,5.545491e-80,2.641973e-80,4.026528e-81,1.036769e-83
5.760875e-81,2.854706e-80,2.690523e-80,2.891569e-80,3.689766e-80,3.328724e-80,2.641973e-80,1.471738e-80,2.487445e-81,6.173105e-84
7.825501e-82,3.876036e-81,3.831429e-81,4.213866e-81,5.300119e-81,4.732325e-81,4.026528e-81,2.487445e-81,5.558229e-82,1.273166e-84
2.013715e-84,9.263964e-84,9.238908e-84,9.977483e-84,1.323556e-83,1.236991e-83,1.036769e-83,6.173105e-84,1.273166e-84,1.137935e-85
