1.284913e-82,3.528835e-82,7.585972e-82,1.647432e-81,2.714411e-81,3.349832e-81,2.757198e-81,1.052157e-81,2.915555e-83,2.237524e-86
3.528835e-82,1.588362e-81,3.077951e-81,6.720229e-81,1.134805e-80,1.397150e-80,1.116236e-80,4.184958e-81,1.090044e-82,9.169416e-86
7.585972e-82,3.077951e-81,7.178470e-81,1.480046e-80,2.527521e-80,3.127475e-80,2.512699e-80,9.399401e-81,2.401509e-82,2.073659e-85
1.647432e-81,6.720229e-81,1.480046e-80,3.518631e-80,5.926636e-80,7.436618e-80,6.038518e-80,2.270332e-80,5.036208e-82,4.850222e-85
2.714411e-81,1.134805e-80,2.527521e-80,5.926636e-80,1.079221e-79,1.345596e-79,1.116251e-79,4.234564e-80,9.720873e-82,9.231914e-85
3.349832e-81,1.397150e-80,3.127475e-80,7.436618e-80,1.345596e-79,1.771495e-79,1.482967e-79,5.675978e-80,1.214291e-81,1.203849e-84
2.757198e-81,1.116236e-80,2.512699e-80,6.038518e-80,1.116251e-79,1.482967e-79,1.388731e-79,5.631910e-80,1.360558e-81,1.144122e-84
1.052157e-81,4.184958e-81,9.399401e-81,2.270332e-80,4.234564e-80,5.675978e-80,5.631910e-80,2.625754e-80,7.385554e-82,5.394665e-85
2.915555e-83,1.090044e-82,2.401509e-82,5.036208e-82,9.720873e-82,1.214291e-81,1.360558e-81,7.385554e-82,3.710287e-83,1.649251e-86
2.237524e-86,9.169416e-86,2.073659e-85,4.850222e-85,9.231914e-85,1.203849e-84,1.144122e-84,5.394665e-85,1.649251e-86,6.648924e-85
