1.0861808,0.73043004,0.62954779,0.31112588,0.12823854,0.070378515,0.06145645,0.025753179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73043004,1.830609,0.81158325,0.4351681,0.22701987,0.1056509,0.085920912,0.04286304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62954779,0.81158325,1.1113376,0.36534355,0.16340733,0.074338811,0.070293213,0.030947939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31112588,0.4351681,0.36534355,0.369664,0.083361907,0.036091853,0.032726938,0.015216538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12823854,0.22701987,0.16340733,0.083361907,0.10214416,0.02387412,0.012805733,0.0077624448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.070378515,0.1056509,0.074338811,0.036091853,0.02387412,0.03968064,0.010089878,0.0027766886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06145645,0.085920912,0.070293213,0.032726938,0.012805733,0.010089878,0.02286144,0.003305111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025753179,0.04286304,0.030947939,0.015216538,0.0077624448,0.0027766886,0.003305111,0.01115136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.00521284,0.0046783867,0.006247957,0.0055572051,0.0045693936,0.006082128,0.0044134416,0.0027479609,0.0022269946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0046783867,0.02637376,0.018436622,0.01740928,0.018065376,0.018886795,0.01403136,0.01060498,0.0075769344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.006247957,0.018436622,0.04588164,0.025901407,0.025493227,0.026966066,0.024012677,0.015767091,0.014990573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0055572051,0.01740928,0.025901407,0.04596736,0.024544512,0.027091584,0.022414234,0.015781812,0.014004265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0045693936,0.018065376,0.025493227,0.024544512,0.046656,0.028456272,0.02146176,0.017485373,0.01640425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
