Bin Low Edge [GeV/c],0.00,0.05,0.11,0.17,0.24,0.31,0.40,0.50,0.62,0.77,0.95,1.18
Cross Section,0.1306,0.4228,0.7874,1.1262,1.2934,1.4095,1.5142,1.3077,0.6907,0.2521,0.0575,0.0062
Total Uncertainty,0.0413,0.1200,0.1844,0.3237,0.3264,0.4456,0.5479,0.3600,0.3768,0.0922,0.0370,0.0168
