lo,hi,val,err
0.106,0.226,0.04574626996895345,0.01327501031296169
0.226,0.296,0.183017121594026,0.021602090538280966
0.296,0.386,0.2570950552168531,0.025103109064530206
0.386,0.505,0.3811739109061939,0.03032819206372562
0.505,0.577,0.4672786884544952,0.03310990059746482
0.577,0.659,0.4257805498460154,0.02904725033658276
0.659,0.753,0.287790323280082,0.026455529628191164
0.753,0.861,0.1513744508598347,0.018068898857981335
0.861,0.984,0.07250867735428686,0.01042410454294429
0.984,2.506,0.004329830191959263,0.0007394305244509014
