lo,hi,val,err
0.106,0.226,0.003529655834184415,0.0018188253604251295
0.226,0.296,0.01429287246590553,0.003093224909380491
0.296,0.386,0.02046953534163657,0.0032321381894297513
0.386,0.505,0.01867994376805443,0.003669178785458674
0.505,0.577,0.01527515173662898,0.0033570909292202212
0.577,0.659,0.01500209494841905,0.002524507888381213
0.659,0.753,0.01395009123544264,0.0021186037109675016
0.753,0.861,0.01138257790692102,0.001991617197127873
0.861,0.984,0.008291505705053917,0.0015034225770692766
0.984,2.506,0.0007836301707359886,0.00015320806752904328
