lo,hi,val,err
0.035,0.105,1.0358114629902,0.09931399035776692
0.105,0.1225,1.133048971015345,0.09261637805367504
0.1225,0.14,1.11089240359845,0.0967316492132428
0.14,0.1575,0.9446562759769308,0.08716856431943684
0.1575,0.175,0.9363234342322032,0.08871128823006136
0.175,0.1925,0.9414413170567618,0.09406925502234013
0.1925,0.21,0.8382002728153893,0.08283280565008196
0.21,0.245,0.8030741004193124,0.07170868765110132
0.245,0.28,0.6666174153619117,0.06385300401159684
0.28,0.315,0.582901219069504,0.05197416846717958
0.315,0.35,0.4735497957732921,0.04505291056749368
0.35,0.42,0.3747938231456321,0.03468559065292614
0.42,0.525,0.1769024538676888,0.02063437453040782
0.525,0.8,0.03806122107802598,0.008718045027529977
