lo,hi,val,err
0.035,0.105,1.228123450532103,0.1272803879132655
0.105,0.1225,1.319891677975954,0.12990196358783349
0.1225,0.14,1.275512681734021,0.13670968725048552
0.14,0.1575,1.221330015036639,0.11989893795734977
0.1575,0.175,1.320706518703848,0.12316975206692632
0.175,0.1925,1.221086135734593,0.12216627749061044
0.1925,0.21,1.06913197830304,0.12178789675168264
0.21,0.245,1.057620181279652,0.10812118149652222
0.245,0.28,0.9111561197646297,0.09864365953686335
0.28,0.315,0.7700696838251286,0.08611118038541217
0.315,0.35,0.6938046229366639,0.0782787039310548
0.35,0.42,0.589833198486141,0.06248698111224613
0.42,0.525,0.4667048878780598,0.0526875619693105
0.525,0.8,0.2225205622382581,0.04246618888242689
