lo,hi,val,err
0.05,0.1,1.7032,0.193428
0.1,0.2,1.4809,0.105603
0.2,0.3,1.2865,0.108753
0.3,0.4,1.0058,0.103857
0.4,0.5,0.8756,0.0821541
0.5,0.6,0.8147,0.0847175
0.6,0.7,0.6497,0.067989
0.7,0.8,0.5146,0.0613612
0.8,0.9,0.4195,0.068119
