lo,hi,val,err
0.05,0.1,0.3939,0.0501363
0.1,0.2,0.3162,0.0273035
0.2,0.3,0.3566,0.0306966
0.3,0.4,0.2696,0.0268203
0.4,0.5,0.2696,0.02664
0.5,0.6,0.2786,0.0375023
0.6,0.7,0.2183,0.0326264
