0.0680688,0.210416,0.0116622,0.00563544,0.297504,0.0287773,0.0178977,0.00420049,0.335987,0.0412222,0.0233245,0.0117927,0.00362651,0.327116,0.0354041,0.0243159,0.0178456,0.00910541,0.00232201,0.227531,0.0223852,0.0175325,0.0157323,0.0114274,0.00660077
0.210416,0.943015,0.038755,0.0188267,1.17982,0.116164,0.0654948,0.0146073,1.39577,0.179137,0.0883281,0.0417546,0.013374,1.37327,0.155851,0.0963691,0.0681462,0.0334477,0.00863828,0.93123,0.0935923,0.0679357,0.0582059,0.0415991,0.0245694
0.0116622,0.038755,0.0251271,0.0106001,0.0537868,0.0338035,0.0219932,0.00512747,0.0522782,0.0313894,0.0239822,0.0121622,0.00325573,0.0596959,0.0252212,0.0196532,0.0166447,0.00773463,0.00185533,0.0116014,0.0154912,0.0106092,0.0100343,0.00960066,0.00501501
0.00563544,0.0188267,0.0106001,0.00825017,0.0385162,0.0123021,0.0121242,0.00324101,0.052672,0.0107135,0.010896,0.00661098,0.00130116,0.0594711,0.00866254,0.00790586,0.00842534,0.00364959,0.00079447,0.0301249,0.0055641,0.00376618,0.00476087,0.00479803,0.00237061
0.297504,1.17982,0.0537868,0.0385162,1.97991,0.14471,0.10397,0.0229887,2.20034,0.225412,0.130663,0.0624869,0.0180062,2.20855,0.195277,0.133065,0.101913,0.0470783,0.0118355,1.61603,0.136484,0.100982,0.0869958,0.0626369,0.0359711
0.0287773,0.116164,0.0338035,0.0123021,0.14471,0.0843761,0.0346898,0.00720664,0.205979,0.0998402,0.0440389,0.0180272,0.00626581,0.227253,0.0867688,0.0446696,0.0304072,0.0134628,0.00351061,0.0572071,0.0455131,0.0243589,0.0171994,0.0152687,0.00870794
0.0178977,0.0654948,0.0219932,0.0121242,0.10397,0.0346898,0.0282121,0.00560591,0.126343,0.0351885,0.028508,0.0138788,0.00348217,0.141816,0.0248627,0.0226676,0.0203489,0.00846967,0.0019345,0.0629532,0.0159283,0.0117312,0.0112437,0.0107463,0.00569717
0.00420049,0.0146073,0.00512747,0.00324101,0.0229887,0.00720664,0.00560591,0.00223518,0.0291976,0.00784833,0.00553953,0.0039567,0.00104849,0.0329939,0.00707175,0.00480922,0.00466016,0.00242596,0.00059606,0.0140294,0.0031318,0.00232728,0.00326482,0.00303925,0.00161352
0.335987,1.39577,0.0522782,0.052672,2.20034,0.205979,0.126343,0.0291976,3.31879,0.37358,0.161974,0.0717229,0.0208587,3.30658,0.316268,0.183318,0.132474,0.0492695,0.0140183,2.21892,0.196746,0.117621,0.0910541,0.0667777,0.041208
0.0412222,0.179137,0.0313894,0.0107135,0.225412,0.0998402,0.0351885,0.00784833,0.37358,0.161353,0.0474596,0.0181311,0.00738513,0.408699,0.142073,0.0572599,0.03473,0.0155054,0.00407491,0.126932,0.0678487,0.0313774,0.0200941,0.0167526,0.00993586
0.0233245,0.0883281,0.0239822,0.010896,0.130663,0.0440389,0.028508,0.00553953,0.161974,0.0474596,0.0368426,0.015202,0.0042334,0.180938,0.0331268,0.0296379,0.0237468,0.00934142,0.00236648,0.0812026,0.0220903,0.0159963,0.013208,0.0119917,0.00669377
0.0117927,0.0417546,0.0121622,0.00661098,0.0624869,0.0180272,0.0138788,0.0039567,0.0717229,0.0181311,0.015202,0.0101956,0.00241442,0.0793854,0.0137105,0.0127608,0.011852,0.00554718,0.0013815,0.0361515,0.00790547,0.0066016,0.00785385,0.00721055,0.00391966
0.00362651,0.013374,0.00325573,0.00130116,0.0180062,0.00626581,0.00348217,0.00104849,0.0208587,0.00738513,0.0042334,0.00241442,0.0010651,0.0228534,0.00595485,0.00393934,0.00324171,0.0017156,0.00049066,0.00835721,0.00290655,0.00205701,0.00211021,0.00188533,0.00113596
0.327116,1.37327,0.0596959,0.0594711,2.20855,0.227253,0.141816,0.0329939,3.30658,0.408699,0.180938,0.0793854,0.0228534,3.72304,0.336496,0.200094,0.146726,0.0514726,0.0147242,2.35461,0.205539,0.120505,0.0941214,0.0722148,0.0442857
0.0354041,0.155851,0.0252212,0.00866254,0.195277,0.0867688,0.0248627,0.00707175,0.316268,0.142073,0.0331268,0.0137105,0.00595485,0.336496,0.153705,0.0470824,0.0257193,0.0139638,0.00332919,0.116288,0.0677793,0.0293704,0.0200098,0.0155381,0.00848405
0.0243159,0.0963691,0.0196532,0.00790586,0.133065,0.0446696,0.0226676,0.00480922,0.183318,0.0572599,0.0296379,0.0127608,0.00393934,0.200094,0.0470824,0.0320171,0.0208576,0.0084067,0.00225606,0.0889052,0.0273256,0.0170174,0.0128045,0.0107233,0.00621495
0.0178456,0.0681462,0.0166447,0.00842534,0.101913,0.0304072,0.0203489,0.00466016,0.132474,0.03473,0.0237468,0.011852,0.00324171,0.146726,0.0257193,0.0208576,0.0189777,0.00737238,0.00183223,0.065948,0.0153299,0.0108152,0.0103295,0.00939993,0.00531928
0.00910541,0.0334477,0.00773463,0.00364959,0.0470783,0.0134628,0.00846967,0.00242596,0.0492695,0.0155054,0.00934142,0.00554718,0.0017156,0.0514726,0.0139638,0.0084067,0.00737238,0.00461877,0.00094684,0.0232067,0.00669897,0.00479736,0.00545685,0.00486226,0.00263904
0.00232201,0.00863828,0.00185533,0.00079447,0.0118355,0.00351061,0.0019345,0.00059606,0.0140183,0.00407491,0.00236648,0.0013815,0.00049066,0.0147242,0.00332919,0.00225606,0.00183223,0.00094684,0.00036467,0.00693016,0.00185483,0.00124376,0.00120286,0.00104431,0.00066462
0.227531,0.93123,0.0116014,0.0301249,1.61603,0.0572071,0.0629532,0.0140294,2.21892,0.126932,0.0812026,0.0361515,0.00835721,2.35461,0.116288,0.0889052,0.065948,0.0232067,0.00693016,2.14422,0.112743,0.0811317,0.0668986,0.0448118,0.0265738
0.0223852,0.0935923,0.0154912,0.0055641,0.136484,0.0455131,0.0159283,0.0031318,0.196746,0.0678487,0.0220903,0.00790547,0.00290655,0.205539,0.0677793,0.0273256,0.0153299,0.00669897,0.00185483,0.112743,0.0422766,0.0198007,0.0117749,0.00860218,0.00475009
