lo,hi,val,err
5,10,1.46525,0.2938287
10,15,1.167455,0.1400775
15,20,1.083516,0.1255317
20,25,1.177391,0.1426247
25,30,1.123121,0.1473642
30,40,1.037846,0.1412802
40,50,0.9282019,0.1481428
