7.222080e-79,1.486740e-79,2.662590e-80,-7.346950e-82,1.866150e-78,9.984380e-79,4.304450e-79,-7.737920e-80,-2.816470e-79,1.590740e-78,1.330270e-78,1.285100e-78,1.071930e-78,2.380640e-79,-2.486370e-79,6.788580e-80,7.946630e-79,1.173160e-78,1.068900e-78,1.347340e-78,1.667230e-78,4.327210e-79,1.842850e-79,1.196330e-79,7.295490e-80,7.326570e-81,1.135810e-79,3.107710e-79,6.190450e-79,6.949700e-79,5.707800e-80,2.584030e-79,7.876700e-80,3.248640e-80,3.535600e-80,4.746130e-80,5.015960e-80,1.694810e-80,6.229220e-80,8.468930e-81,-1.449090e-79,-5.628470e-81,-2.934090e-81,1.056690e-80
1.486740e-79,4.698430e-80,5.690060e-81,-1.652700e-81,3.768970e-79,2.873680e-79,1.179680e-79,-5.015870e-80,-1.129840e-79,2.918740e-79,3.595760e-79,3.238440e-79,2.794240e-79,4.059090e-80,-1.086040e-79,2.151550e-80,1.305750e-79,3.345800e-79,2.644910e-79,3.608000e-79,4.746900e-79,7.771800e-80,2.768260e-80,3.750530e-80,-8.040560e-81,-1.828690e-80,1.356970e-80,8.151630e-80,1.812870e-79,1.834190e-79,-5.294680e-80,5.281280e-80,2.307120e-80,6.519220e-81,7.065630e-81,1.084570e-80,1.592390e-80,9.468530e-81,3.121800e-80,1.255770e-80,-5.261690e-80,-1.283020e-80,-3.738130e-81,3.697260e-81
2.662590e-80,5.690060e-81,7.241490e-81,3.376330e-81,6.405550e-80,8.042260e-80,5.096260e-80,7.855940e-80,7.446560e-80,4.443580e-80,1.119420e-79,1.134820e-79,6.357760e-80,8.470260e-80,9.052650e-80,-4.024770e-81,-2.496230e-80,6.842450e-81,7.571140e-80,7.038010e-80,-5.697430e-81,9.004470e-80,6.027460e-80,-4.336200e-81,-9.638060e-81,4.502140e-81,1.104070e-80,1.594100e-80,2.104010e-80,4.686440e-80,1.341190e-79,3.814870e-80,-1.939800e-82,-3.203900e-81,-8.522950e-81,-1.147340e-80,-1.215020e-80,-7.115320e-81,-8.973440e-81,5.531100e-81,3.655970e-80,3.974160e-81,2.012800e-81,-8.464720e-82
-7.346950e-82,-1.652700e-81,3.376330e-81,2.140000e-81,-2.871220e-81,1.642720e-80,1.557040e-80,5.134630e-80,5.696610e-80,-3.735770e-81,3.010660e-80,2.922940e-80,5.069130e-81,4.507560e-80,6.570920e-80,-5.110960e-81,-2.858930e-80,-3.114890e-80,1.518160e-80,4.344630e-82,-5.661950e-80,4.560010e-80,3.239960e-80,-7.220540e-81,-4.901760e-81,5.857740e-81,6.373670e-81,1.544170e-81,-7.074410e-81,9.119730e-81,8.915320e-80,1.744230e-80,-2.675300e-81,-3.133200e-81,-5.912230e-81,-7.732190e-81,-8.336130e-81,-3.861600e-81,-7.172570e-81,3.862750e-81,3.054480e-80,6.699720e-81,2.961210e-81,-8.415310e-82
1.866150e-78,3.768970e-79,6.405550e-80,-2.871220e-81,5.282620e-78,2.557020e-78,1.125040e-78,-1.844790e-79,-7.246330e-79,4.842880e-78,3.696900e-78,3.389040e-78,2.814600e-78,6.889590e-79,-6.356560e-79,1.676790e-79,2.760360e-78,3.449140e-78,3.188280e-78,3.805020e-78,4.549380e-78,1.291750e-78,5.151640e-79,3.038470e-79,5.488680e-79,3.287090e-79,6.446260e-79,1.201260e-78,2.015360e-78,2.185110e-78,4.558600e-79,7.809120e-79,2.171530e-79,2.095200e-79,1.992260e-79,2.487720e-79,2.721430e-79,2.359540e-79,4.120580e-79,3.166040e-79,-8.727960e-80,1.652710e-79,5.542230e-80,3.034580e-80
9.984380e-79,2.873680e-79,8.042260e-80,1.642720e-80,2.557020e-78,2.415390e-78,9.506780e-79,2.978410e-79,-1.037320e-80,1.968830e-78,3.180290e-78,2.720270e-78,1.989280e-78,8.245490e-79,1.568230e-79,8.107840e-80,6.225760e-79,2.030970e-78,2.116110e-78,2.608640e-78,2.609000e-78,1.190190e-78,6.663870e-79,1.638560e-79,-8.281010e-80,-2.673690e-80,1.528830e-79,5.581810e-79,1.232610e-78,1.539690e-78,9.900080e-79,6.843040e-79,1.475250e-79,1.716160e-80,-3.197400e-81,-1.474960e-80,-4.198390e-81,-7.861760e-81,1.216930e-79,2.120340e-79,2.546350e-79,1.885130e-79,1.057110e-79,2.563070e-80
4.304450e-79,1.179680e-79,5.096260e-80,1.557040e-80,1.125040e-78,9.506780e-79,6.073000e-79,3.636340e-79,1.705360e-79,8.629920e-79,1.236230e-78,1.473070e-78,1.053470e-78,6.510680e-79,2.753740e-79,2.356090e-80,1.853750e-79,6.345830e-79,1.168130e-78,1.350190e-78,1.075690e-78,7.307870e-79,4.210200e-79,6.116070e-80,2.047520e-81,1.188750e-80,1.653320e-79,3.854600e-79,6.293730e-79,7.533550e-79,6.679970e-79,3.368200e-79,5.083430e-80,3.946440e-80,-1.700120e-80,-1.883970e-80,-4.226390e-81,2.759250e-80,8.276530e-80,1.234360e-79,7.390630e-80,-6.504020e-80,-1.511870e-80,1.446740e-81
-7.737920e-80,-5.015870e-80,7.855940e-80,5.134630e-80,-1.844790e-79,2.978410e-79,3.636340e-79,1.302840e-78,1.446340e-78,-1.233570e-79,6.037650e-79,6.121850e-79,4.711670e-80,1.151650e-78,1.659770e-78,-1.393990e-79,-6.272240e-79,-9.140700e-79,2.738390e-79,-1.058060e-79,-1.553520e-78,1.147900e-78,8.030600e-79,-1.949290e-79,-4.341150e-80,2.073470e-79,2.155110e-79,7.857760e-80,-1.836650e-79,2.165490e-79,2.280160e-78,4.278520e-79,-7.161480e-80,-4.863600e-80,-1.365880e-79,-1.765040e-79,-1.751940e-79,-3.412390e-80,-1.103060e-79,1.676840e-79,8.087020e-79,1.897780e-79,8.760360e-80,-2.192500e-80
-2.816470e-79,-1.129840e-79,7.446560e-80,5.696610e-80,-7.246330e-79,-1.037320e-80,1.705360e-79,1.446340e-78,1.735360e-78,-5.530660e-79,2.706190e-79,1.403860e-79,-3.990510e-79,1.118150e-78,1.955510e-78,-1.881800e-79,-9.390370e-79,-1.420620e-78,-1.515390e-79,-7.070920e-79,-2.390140e-78,1.115600e-78,8.164380e-79,-2.765940e-79,-9.872870e-80,2.329170e-79,1.811990e-79,-8.738670e-80,-5.049960e-79,-3.388600e-80,2.605410e-78,3.953230e-79,-1.138000e-79,-9.864990e-80,-1.726140e-79,-2.191560e-79,-2.229300e-79,-5.832120e-80,-1.766250e-79,1.614530e-79,1.012090e-78,3.002890e-79,1.306100e-79,-2.723030e-80
1.590740e-78,2.918740e-79,4.443580e-80,-3.735770e-81,4.842880e-78,1.968830e-78,8.629920e-79,-1.233570e-79,-5.530660e-79,5.121610e-78,3.335190e-78,2.718810e-78,2.267610e-78,6.204640e-79,-5.068790e-79,1.108870e-79,3.522830e-78,3.498260e-78,3.152140e-78,3.372990e-78,3.820640e-78,1.190420e-78,4.025450e-79,2.112430e-79,1.062060e-78,8.210110e-79,1.175300e-78,1.656140e-78,2.237760e-78,2.243430e-78,7.593060e-79,7.013290e-79,1.576080e-79,3.869440e-79,3.475430e-79,4.132780e-79,4.616000e-79,5.158450e-79,7.278930e-79,6.745110e-79,2.990610e-79,2.869110e-79,7.113140e-80,1.791590e-80
1.330270e-78,3.595760e-79,1.119420e-79,3.010660e-80,3.696900e-78,3.180290e-78,1.236230e-78,6.037650e-79,2.706190e-79,3.335190e-78,4.796310e-78,3.743280e-78,2.594630e-78,1.246230e-78,4.867020e-79,6.059980e-80,1.418310e-78,3.281550e-78,3.576660e-78,3.833590e-78,3.382740e-78,1.856530e-78,9.509360e-79,1.416920e-79,2.149560e-79,4.262560e-79,8.164370e-79,1.392780e-78,2.200270e-78,2.569380e-78,2.103590e-78,1.024770e-78,1.577330e-79,1.063940e-79,1.100870e-79,1.202490e-79,1.467960e-79,2.215760e-79,4.463590e-79,6.621380e-79,7.971400e-79,3.861330e-79,1.549600e-79,2.141530e-80
