lo,hi,val,err
1.5,2.0,21.850141848249077,5.296931446807457
2.0,2.5,51.634948937464145,9.102378840833675
2.5,3.0,81.45955578081563,10.55261008305753
3.0,3.5,106.73430055725608,10.437647064718712
3.5,4.0,117.27743780425787,9.928384009201942
4.0,4.5,129.72108413565334,9.475719097706483
4.5,5.0,137.0581742430581,8.566795417081721
5.0,5.5,130.94699096289133,7.584760249701105
5.5,6.0,119.58190883494672,6.7040363637836276
6.0,7.0,92.37776492057897,7.670281243012585
7.0,8.0,52.40619447725109,5.8440966663317075
8.0,9.0,25.544372511206713,3.1430924276113377
9.0,10.0,12.372922811902862,1.4414399185338562
10.0,15.0,3.97255447035824,0.3636597816501268
15.0,20.0,1.3817572487385408,0.10332264906490854
